service,delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
CV,83.7104320526123,25,720,2024-06-13 17:14:15.822857,Laptop,81.5,82.56599251444331,24,0
CV,82.99469947814941,25,720,2024-06-13 17:14:15.920729,Laptop,81.6,82.60384539022986,24,0
CV,101.04870796203613,25,720,2024-06-13 17:14:16.036096,Laptop,80.5,82.57311833981046,24,0
CV,79.57649230957031,25,720,2024-06-13 17:14:16.128648,Laptop,85.0,82.58937259319106,24,0
CV,83.77337455749512,25,720,2024-06-13 17:14:16.225912,Laptop,88.1,82.60201479026485,24,0
CV,81.66074752807617,25,720,2024-06-13 17:14:16.325455,Laptop,84.9,82.63992909558041,24,0
CV,81.92729949951172,25,720,2024-06-13 17:14:16.422800,Laptop,84.3,82.61756874701453,24,0
CV,83.47582817077637,25,720,2024-06-13 17:14:16.521585,Laptop,85.0,82.62914207028325,24,0
CV,81.8791389465332,25,720,2024-06-13 17:14:16.619199,Laptop,83.6,82.6066957203767,24,0
CV,93.67918968200684,25,720,2024-06-13 17:14:16.735794,Laptop,85.6,82.64019938550814,24,0
CV,85.56985855102539,25,720,2024-06-13 17:14:16.837045,Laptop,83.6,82.61635244233979,24,0
CV,82.78036117553711,25,720,2024-06-13 17:14:16.933137,Laptop,83.3,82.65354187921284,24,0
CV,82.09490776062012,25,720,2024-06-13 17:14:17.029402,Laptop,85.1,82.61267895650396,24,0
CV,83.44173431396484,25,720,2024-06-13 17:14:17.131702,Laptop,83.6,82.63510073459888,24,0
CV,83.85992050170898,25,720,2024-06-13 17:14:17.229113,Laptop,85.0,82.61608215241206,24,0
CV,84.20372009277344,25,720,2024-06-13 17:14:17.330733,Laptop,83.6,82.65206757051618,24,0
CV,82.5490951538086,25,720,2024-06-13 17:14:17.427061,Laptop,84.3,82.62731147031823,24,0
CV,82.89384841918945,25,720,2024-06-13 17:14:17.526615,Laptop,86.2,82.65448789395987,24,0
CV,103.53326797485352,25,720,2024-06-13 17:14:17.645548,Laptop,87.4,82.64862751689066,24,0
CV,95.88289260864258,25,720,2024-06-13 17:14:17.760316,Laptop,84.8,82.64062939221132,24,0
CV,93.56474876403809,25,720,2024-06-13 17:14:17.871598,Laptop,83.7,82.60410339425177,24,0
CV,90.1191234588623,25,720,2024-06-13 17:14:17.979673,Laptop,89.7,82.61599615107143,25,0
CV,92.02384948730469,25,720,2024-06-13 17:14:18.104463,Laptop,92.5,82.59003603210454,25,0
CV,89.86377716064453,25,720,2024-06-13 17:14:18.209053,Laptop,84.0,82.60329252446861,24,0
CV,89.85018730163574,25,720,2024-06-13 17:14:18.313907,Laptop,84.5,82.55246573215153,24,0
CV,85.68191528320312,25,720,2024-06-13 17:14:18.412616,Laptop,81.8,82.59031860793807,24,0
CV,84.59091186523438,25,720,2024-06-13 17:14:18.509600,Laptop,87.5,82.59842730576966,24,0
CV,87.28456497192383,25,720,2024-06-13 17:14:18.613582,Laptop,82.9,82.61715102621714,24,0
CV,95.67975997924805,25,720,2024-06-13 17:14:18.722995,Laptop,85.6,82.59698985479042,24,0
CV,82.36479759216309,25,720,2024-06-13 17:14:18.820552,Laptop,80.9,82.63066552260312,24,0
CV,81.8941593170166,25,720,2024-06-13 17:14:18.914418,Laptop,82.1,82.60035619298111,24,0
CV,80.05714416503906,25,720,2024-06-13 17:14:19.007457,Laptop,82.4,82.63394585945318,24,0
CV,84.35344696044922,25,720,2024-06-13 17:14:19.104305,Laptop,83.3,82.60506169490459,24,0
CV,82.37576484680176,25,720,2024-06-13 17:14:19.200226,Laptop,83.6,82.61958363556661,24,0
CV,81.71224594116211,25,720,2024-06-13 17:14:19.294276,Laptop,81.3,82.58850029387887,24,0
CV,80.84940910339355,25,720,2024-06-13 17:14:19.393106,Laptop,81.0,82.62277797107603,24,0
CV,81.6342830657959,25,720,2024-06-13 17:14:19.488974,Laptop,81.6,82.59042918109031,24,0
CV,83.4348201751709,25,720,2024-06-13 17:14:19.606313,Laptop,83.3,82.62470685828748,24,0
CV,84.59854125976562,25,720,2024-06-13 17:14:19.706430,Laptop,85.4,82.57508408473933,24,0
CV,84.33151245117188,25,720,2024-06-13 17:14:19.804386,Laptop,79.6,82.6129615323375,24,0
CV,75.4997730255127,25,720,2024-06-13 17:14:19.899212,Laptop,82.5,82.57620210216763,24,0
CV,85.83521842956543,25,720,2024-06-13 17:14:20.005726,Laptop,88.6,82.65147784703753,25,0
CV,84.28025245666504,25,720,2024-06-13 17:14:20.108311,Laptop,88.0,82.63798792246315,24,0
CV,84.3648910522461,25,720,2024-06-13 17:14:20.211115,Laptop,84.5,82.6751527875246,24,0
CV,90.96598625183105,25,720,2024-06-13 17:14:20.320297,Laptop,83.0,82.6405679626823,24,0
