service,ip,device_type,timestamp,expected,reality,evidence,v1,v2
QR-1,192.168.31.205,NX,2024-07-06 14:59:55.026519,0.9635924222024681,1.0,0.846407577797532,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:56.117746,0.9635924222024681,1.0,0.8864075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:57.272722,0.9635924222024681,1.0,0.9264075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:58.333983,0.9635924222024681,1.0,0.976407577797532,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:59.396261,0.9635924222024681,1.0,1.0164075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:01.101736,0.9678319853372077,1.0,0.08216801466279229,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:02.253463,0.9678319853372077,1.0,0.12216801466279228,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:03.331178,0.9678319853372077,1.0,0.1621680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:04.436222,0.9678319853372077,1.0,0.2121680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:05.678266,0.9678319853372077,1.0,0.26216801466279227,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:06.888844,0.9678319853372077,1.0,0.3021680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:08.221143,0.9678319853372077,1.0,0.3521680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:09.293002,0.9678319853372077,1.0,0.3921680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:10.403492,0.9678319853372077,1.0,0.4321680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:11.479261,0.9678319853372077,1.0,0.4721680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:12.619413,0.9678319853372077,1.0,0.5121680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:13.681714,0.9678319853372077,1.0,0.5621680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:14.896037,0.9678319853372077,1.0,0.6021680146627924,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:16.091000,0.9678319853372077,1.0,0.6421680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:17.231402,0.9678319853372077,1.0,0.6821680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:18.296258,0.9678319853372077,1.0,0.7221680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:19.363210,0.9678319853372077,1.0,0.7621680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:20.524197,0.9678319853372077,1.0,0.8121680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:21.589974,0.9678319853372077,1.0,0.8521680146627924,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:22.785398,0.9678319853372077,1.0,0.8921680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:23.934518,0.9678319853372077,1.0,0.9321680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:25.145082,0.9678319853372077,1.0,0.9721680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:26.246467,0.9678319853372077,1.0,1.0121680146627923,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:28.312851,0.9699172859155628,1.0,0.08008271408443719,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:29.519059,0.9699172859155628,1.0,0.12008271408443719,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:30.660899,0.9699172859155628,1.0,0.1600827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:31.979730,0.9699172859155628,1.0,0.2100827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:33.129252,0.9699172859155628,1.0,0.26008271408443717,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:34.246761,0.9699172859155628,1.0,0.3000827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:35.515445,0.9699172859155628,1.0,0.3400827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:36.676968,0.9699172859155628,1.0,0.3800827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:37.886961,0.9699172859155628,1.0,0.4200827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:39.071452,0.9699172859155628,1.0,0.4600827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:40.673021,0.9699172859155628,1.0,0.5200827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:41.814124,0.9699172859155628,1.0,0.5700827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:43.054157,0.9699172859155628,1.0,0.6100827140844371,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:44.273203,0.9699172859155628,1.0,0.6600827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:45.373537,0.9699172859155628,1.0,0.7000827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:46.522821,0.9699172859155628,1.0,0.7400827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:47.650696,0.9699172859155628,1.0,0.7800827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:48.773100,0.9699172859155628,1.0,0.8200827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:49.954429,0.9699172859155628,1.0,0.8600827140844371,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:51.063071,0.9699172859155628,1.0,0.9100827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:52.798575,0.9699172859155628,1.0,0.9700827140844372,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:53.941109,0.9699172859155628,1.0,1.0100827140844373,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:55.858366,0.9727792182353048,1.0,0.09722078176469522,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:57.037549,0.9727792182353048,1.0,0.13722078176469524,,
QR-1,192.168.31.205,NX,2024-07-06 15:00:58.138459,0.9727792182353048,1.0,0.17722078176469525,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:00.577023,0.9727792182353048,1.0,0.2672207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:01.793080,0.9727792182353048,1.0,0.31722078176469526,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:02.895826,0.9727792182353048,1.0,0.36722078176469525,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:04.232307,0.9727792182353048,1.0,0.41722078176469524,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:05.369013,0.9727792182353048,1.0,0.4572207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:06.436646,0.9727792182353048,1.0,0.49722078176469525,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:07.501552,0.9727792182353048,1.0,0.5372207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:08.631956,0.9727792182353048,1.0,0.5772207817646953,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:09.789430,0.9727792182353048,1.0,0.6172207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:10.907579,0.9727792182353048,1.0,0.6572207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:12.079483,0.9727792182353048,1.0,0.7072207817646953,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:13.158607,0.9727792182353048,1.0,0.7472207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:14.264162,0.9727792182353048,1.0,0.7872207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:15.431226,0.9727792182353048,1.0,0.8272207817646953,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:16.514773,0.9727792182353048,1.0,0.8672207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:17.864554,0.9727792182353048,1.0,0.9172207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:18.950543,0.9727792182353048,1.0,0.9672207817646953,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:20.087931,0.9727792182353048,1.0,1.0072207817646952,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:22.031674,0.9736779309641735,1.0,0.07632206903582646,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:23.122829,0.9736779309641735,1.0,0.11632206903582645,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:24.259842,0.9736779309641735,1.0,0.15632206903582646,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:25.371126,0.9736779309641735,1.0,0.20632206903582648,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:26.491498,0.9736779309641735,1.0,0.24632206903582646,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:27.577405,0.9736779309641735,1.0,0.28632206903582647,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:28.875440,0.9736779309641735,1.0,0.33632206903582645,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:30.056308,0.9736779309641735,1.0,0.3763220690358265,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:31.158589,0.9736779309641735,1.0,0.41632206903582647,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:32.257064,0.9736779309641735,1.0,0.45632206903582645,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:33.344225,0.9736779309641735,1.0,0.5063220690358264,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:34.548948,0.9736779309641735,1.0,0.5463220690358265,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:35.982017,0.9736779309641735,1.0,0.6063220690358264,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:37.124183,0.9736779309641735,1.0,0.6463220690358265,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:38.226035,0.9736779309641735,1.0,0.6863220690358265,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:39.330248,0.9736779309641735,1.0,0.7263220690358264,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:40.423712,0.9736779309641735,1.0,0.7663220690358264,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:41.511602,0.9736779309641735,1.0,0.8163220690358265,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:42.565774,0.9736779309641735,1.0,0.8563220690358264,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:43.663126,0.9736779309641735,1.0,0.8963220690358265,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:44.718663,0.9736779309641735,1.0,0.9363220690358265,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:45.896621,0.9736779309641735,1.0,0.9763220690358264,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:46.973198,0.9736779309641735,1.0,1.0163220690358263,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:48.286736,0.9729217259748539,1.0,0.07707827402514607,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:49.349372,0.9729217259748539,1.0,0.11707827402514606,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:50.429652,0.9729217259748539,1.0,0.15707827402514607,,
QR-1,192.168.31.205,NX,2024-07-06 15:01:51.555102,0.9729217259748539,1.0,0.2070782740251461,,
